primarytext,header2,header3,img links,cta
Just for our favourite foodie 👉  Use code WELCOMEBACK and get 60% off up to ₹100 + Paytm cashback of ₹30,Get the best offers on Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288288983_3531612090430786_6431621311102055837_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=kgfVnddeq_oAX9Fm-_i&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9dSjM-7NQU0_clPN5zjwytuOM-RurK_-vo8wiFiT9n-Q&oe=62B4825B,Order Now
"Swiggy has changed, Only for the better, Introducing Swiggy Instamart! Get groceries in minutes Use code: TRYIM",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/287831004_3290879937816484_9033895560771612059_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=-5cXlJ7PpnMAX-Fjclh&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8WB49mbHl_rDhMzyzqSLrnLFkojFw3yI83rT4mu6n0ZQ&oe=62B3C29D,
"Swiggy has changed, Only for the better, Introducing Swiggy Instamart! Get groceries in minutes Use code: TRYIM",Get the best offers on Swiggy,,,Order Now
"Swiggy has changed, Only for the better, Introducing Swiggy Instamart! Get groceries in minutes Use code: TRYIM",Get the best offers on Swiggy,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286557848_573977897456563_8012518878485157404_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=mI8UES1ZVIgAX8uCQRb&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_rR5eb8I6j5gtyQruSQvzMHdSvIwTNuiGik80oYJb4uw&oe=62B3A25E,Order Now
Become a Swiggy Delivery Partner & secure your family’s future.,Earn upto Rs.25000 p.m.,,,Apply Now
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,,,,
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,Earn upto Rs.25000 p.m.,,,Apply Now
Swiggy के साथ डेलिवर करें और अच्छी कमाई  ले के अपने परिवार का भविष्य सुरक्षित करें।.,सवारी करें. डिलीवर करें. पैसे कमाएं,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/287997397_1259146287951298_8183319491318629191_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ktSHUvEHEpUAX8e2dW5&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8cT8IQOtBapFO1xZjQT-jQawY7aeynV0QHmLloFWQtTA&oe=62B3DA21,Apply Now
"Swiggy डिलिव्हरी पार्टनर बना आणि चांगला पगार आणि कामाच्या फ्लेक्झिबल वेळा मिळवा.

💰 साप्ताहिक पगार आणि भरपूर इन्सेंटिव्हज्
👪 तुम्ही आणि तुमच्या कुटुंबासाठी जीवन विमा
✨ चांगल्या कामगिरीशी निगडित आकर्षक बक्षिसे",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/287807118_3149678931937713_4977612595363841836_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=5vh8DOwCV8YAX-MWN6h&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_dZRsdWfXx9zkkIdURnJ25bM3H-KCVBee9M-hkveEPoQ&oe=62B465CC,
Swiggy के साथ डेलिवर करें और अच्छी कमाई के साथ बीमा कवर ले के अपने परिवार का भविष्य सुरक्षित करें।.,सवारी करें. डिलीवर करें. पैसे कमाएं,,,Apply Now
"Swiggy डिलीव्हरी पार्टनर व्हा, आकर्षक पेआऊटसह आणि विमा संरक्षणसह आपल्या कुटुंबाचे भविष्य सुरक्षित करा.","25,000 रुपये पर्यंत दर महिना कमवा",,,Apply Now
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.
💰Weekly payout and high incentives
👪 Life Insurance for you and your family
✨Exciting performance-related rewards",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/288091186_1201688917312169_329155754652240734_n.jpg?stp=dst-jpg_s600x600&_nc_cat=106&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=jyoT-RpXGbYAX9UdZyV&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-KjwePmvPoDtKDrn-yqoX4c6YtbYJeIk3TuEa6BLKxfA&oe=62B429D8,
Partner with Swiggy for a hassle free way to grow your restaurant’s business. Signing up is super simple and quick!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278364804_5001620193264724_1851644565689937940_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=_36XuvafcsMAX9l41UY&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9tWBOjiqzT-P4ZAIBCjLpq-g8wNVP7hVQSJTSL2icBCg&oe=62B49687,
Partner with Swiggy for a hassle free way to grow your business. Signing up is super simple and quick!,Sign up with Swiggy,,,Sign Up
Accelerate your restaurant’s business growth by partnering with Swiggy. Signing up is super simple and quick!,Sign up with Swiggy,,,Sign Up
Partner with Swiggy for a hassle free way to grow your restaurant’s business. Signing up is super simple and quick!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/278141833_303047628483834_8240191961238664177_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=V_Nw1WJ9-LMAX8iKOG0&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_zZdxyq4scf_W3-vHzsTMhF-82nxMnmWHrettztB5PZw&oe=62B50328,
Partner with Swiggy for a hassle free way to grow your business. Signing up is super simple and quick!,Sign up with Swiggy,,,Sign Up
Accelerate your restaurant’s business growth by partnering with Swiggy. Signing up is super simple and quick!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/271187159_1077389476371123_4546259150809694013_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=XLdYR_n2rGcAX953b9G&_nc_oc=AQmIqcKxV-3K4oso8T9idRUc79tLfjCrYdlZArH8OdlgMuedxeFMrt_IKF75sBffiX8&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9Xgh3WcFn9Sq1GW4TY55FZuwktcNKcHPNY39jXyCy4xQ&oe=62B4CD28,
"ఒక Swiggy డెలివరీ పార్టనర్ అవ్వండి, మీ పని మరియు మీ సంపాదన మీరే నిర్ణయించగలరు! Part time లేదా Full time పని చేసుకోగలరు.",,,,
ఒక Swiggy డెలివరీ పార్టనర్ అవ్వండి. పరిశ్రమలో ఉత్తమమైన ఆదాయమును సంప్రదించగలరు. భీమా మరియు వీలుగా ఉండే పనివేళలు.,సవారీ చేయు! డెలివర్ చేయు! సంపాదించు!,,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future.,"Earn up to Rs.25,000 p.m",,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future.,"Earn up to Rs.25,000 p.m",,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future.,Earn upto Rs.25000 p.m.,,,Apply Now
Swiggy के साथ डेलिवर करें और अच्छी कमाई के साथ अपने परिवार का भविष्य सुरक्षित करें।.,सवारी करें. डिलीवर करें. पैसे कमाएं,,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future.,"Earn up to Rs.25,000 p.m",,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285740130_301768522169706_1768869643034298848_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=733kw6gw_awAX9mari5&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_PeOQetvppDPaWy9I6nC0FPXhRhCt3oq71JQRT_bfdgA&oe=62B36A83,Apply Now
Swiggy के साथ डेलिवर करें और अच्छी कमाई के साथ अपने परिवार का भविष्य सुरक्षित करें।.,"₹25,000 प्रति मास तक कमाइए।",,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285835402_1224810278264797_5387916601566076694_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hYlIB7WX2N8AX949Xby&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_BX3saizdTHvixAZMCtATpiC_Ule8T-uFX5Oa9LHtByQ&oe=62B4572E,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future with .,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286369409_483067816922981_8158032516320337502_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=vx2siKRYjEcAX_3X3lJ&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_vGwGwazBDRtPX-hl7NgPEU74N6Dt4tpXXnfUukJEOAg&oe=62B4528F,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future.,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/286739405_502624061611616_1803463822600892967_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=X3_Rjg8NGCMAX-FicpB&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-xIroGNIHLpZyWD7BsarnU3GT95X8wbaKScdks2_zpIQ&oe=62B49978,Apply Now
Discover new meals every day on Swiggy and get them at 50% off !,⚠ Temptation warning ⚠,,,Install Now
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.
💰Weekly payout and high incentives
👪 Life Insurance for you and your family
✨Exciting performance-related rewards",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285855373_682192099537435_5651355180991137246_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=y9WsMY_OGrwAX_mYYXi&_nc_oc=AQksd2JMIszBsv-EpvfBjT2F68zQsw7_a4FE-k3MwsE4V1-pWfdz_jrq6FjoT6W2rEU&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8v7dIE3A5dWScfqfAzr--bTiuDM5Yubzcz7zkpOImIsg&oe=62B4EC12,
"Become a Swiggy Delivery Partner and get competitive salary & flexible work timings.
💰Weekly payout and high incentives
👪 Life Insurance for you and your family
✨Exciting performance-related rewards",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285836027_1019852962002751_6873874282138794571_n.jpg?stp=dst-jpg_s600x600&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=UIGP61BLc0kAX9JElzC&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_9iLDEEU7N3tVis0cJFSEAaEZvQqQpg7oxRPRCtdQA-Q&oe=62B464AF,
"સ્વિગી ડિલિવરી પાર્ટનર બનો અને ઉદ્યોગ વેતન, વીમા કવર અને લવચીક કામના સમયમાં શ્રેષ્ઠ બનો.",રૂ.25000.00 સુધી માસિક આવક,,,Apply Now
"Swiggy டெலிவரி பார்ட்னராகி, உங்கள் குடும்பத்தின் எதிர்காலத்தை நல்ல வருமானம் மற்றும் சிறந்த காப்பீடு கொடுத்து பாதுகாக்குங்கள்.",மாதம் ருபாய் 25000 வரை சம்பாதியுங்கள்,,,Apply Now
Become a Swiggy Delivery Partner and get best in industry salary & flexible work timings.,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285625560_1074310426768062_1664679807279674640_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=GJPdGTZncB8AX8ywVLI&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8FhSrbS8V_gcmMfKcefn7NaVb6HVxx28exZtpAlIIJFw&oe=62B4BC9D,Apply Now
Swiggy के साथ डेलिवर करें और पाएं आकर्षक कमाई और अपनी मनपसंद शिफ्ट।,"₹25,000 प्रति मास तक कमाइए।",,,Apply Now
"Swiggy डिलीव्हरी पार्टनर व्हा, आकर्षक पेआऊटसह आणि आपल्या कुटुंबाचे भविष्य सुरक्षित करा.","25,000 रुपये पर्यंत दर महिना कमवा",,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285846922_759139021754400_3444672995731587641_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=vLluE1EYlu0AX8Hhn23&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8aeAW2AAbUGcohBEZ0i9merK33cjBRatjQS4LQDTf9SQ&oe=62B37823,Apply Now
Have a spread (at home!) with top restaurants on Swiggy. Get 50% off !,Get up to ₹125 off on your favourites,,,Install Now
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284685275_334139282018286_7851544324856071634_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ogolonWDoHYAX__saXs&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-Oe8Hq26bQgsHmVNxBb_hrcVqMTbYqhtn931IH6W0FyA&oe=62B45EC9,
Indulge into your favourite Chaats with Swiggy. Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284478158_528734358801966_8350210361005999140_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=2WA8TJfzSQAAX8ka-5t&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8pgjygXAOY4uS1Td7vDM5AeYm1Cc4kz-KYIKH_pL_wAA&oe=62B503CC,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284880644_410377090946652_2896873000914515284_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hHIxZAU5NUoAX_L_WdX&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_w2A7FDsPUnDYRquvsraGvPUpSMgvw-alPe8ebVfuVTg&oe=62B32403,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/281578453_581814559897518_1062338711127505561_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=y1y7Si527BoAX9DdzVC&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_7dQGRn0klBrN7KUTV5mkNKmp95pD2OdsjtknxLpg_qQ&oe=62B40E87,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284672099_1044260239522617_106250200686844427_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=umicKEOWJtUAX-jN4Yk&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_BqvQ_lHxKWnEwt31cFx_HJOCldO8oGOy3-xkzCO2O_Q&oe=62B4C474,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/283573421_458135059409557_3596833787362481426_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=S7bW_e3LXggAX8LRjfo&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_RCV_A9ml6WDbIvzoWA_qR6U0bgaP6Sj80ntTssgxSXQ&oe=62B3593C,
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/283145790_581632923507801_566421543011596257_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=BAU62jYp71QAX8b13nO&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8jY3ajKn4ZtmbOuHcQH2es_gAC2C8xeK-_fTXTEo4NGw&oe=62B47B36,
"Indulge into your favourite Chaats with Swiggy.
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284950258_380213647473450_7149618379306776083_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=8N5Bql2CVKAAX_2v_Xu&_nc_ht=scontent.fblr22-1.fna&oh=00_AT86ruAO1XpusdHIpMOdJghwEjbq_1MUFfMpcU3PXAjCYQ&oe=62B4EA76,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/285129130_386545856747894_1300511761881108428_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=jcrR_GB556kAX-MTvh3&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9rf3x2OAZBgG0Pq-gO-PjVhjPMYSUGDYTxQSlf3mv8Xw&oe=62B32835,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284882760_5222982611088060_4613707890240140472_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=WPc09t24zjUAX968TGO&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_8d5ZPtRnriEF9HldQIwa3rKeW_dh16APm0AO-MIP_mg&oe=62B379D9,
"Delicious dishes, delivered to your doorstep. Download the Swiggy app today.",Super fast delivery,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284771602_1069458007329141_6836574231744993852_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=EN9r5mr5fJwAX8X7R-R&_nc_ht=scontent.fblr22-1.fna&oh=00_AT9MBy_JSjN0fHZrt7rFhSIINSbBo0EiO2hI1EY-m96UUg&oe=62B3F7D1,Install Now
Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,Order online on Swiggy,"Order food, groceries & essentials online, & get quick doorstep deliveries.",https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284846025_547085533820681_5580839355097020142_n.jpg?stp=dst-jpg_s600x600&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=cqj9bdecZ4gAX_qn4Ig&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-TmtqKpgR8aJAygdRGgw83Gxu3rINC2Ved0lW7mJALCg&oe=62B3C5C1,Install Now
Indulge into your favourite Chaats with Swiggy. Cash it all on top restaurants! Use code WELCOME50 to get 50% Off* and Free Delivery on your first order!,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/284944006_538041194702303_5726822161722421910_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=azBBNFLm33cAX_fR568&_nc_ht=scontent.fblr22-1.fna&oh=00_AT8uSBl_cgkj-Ar93LtDWH-ELFmoIpLuHIPYnaFiMXi34Q&oe=62B3BB78,
"ಸ್ವಿಗ್ಗಿ ಡೆಲಿವರಿ ಪಾಲುದಾರರಾಗಿ
ಇವುಗಳನ್ನು ಪಡೆಯಿರಿ - ಉತ್ತಮ ಸಂಬಳ,
ವಿಮೆ ಮತ್ತು ಅನುಕೂಲಕರ ಸಮಯಗಳು.","Swiggy ಯ ಜೊತೆಗೆ ನಿಮ್ಮ ಕನಸುಗಳು ನನಸಾಗುತ್ತದೆ. Swiggy ಯ ಡೆಲಿವರಿ ಪಾರ್ಟ್ನರ್ ಆಗಲು, ಕೆಳಗೆ ಕ್ಲಿಕ್ ಮಾಡಿ.",,,Learn More
Become a Swiggy Delivery Partner & secure your family’s future with competitive salary & insurance cover.,"Earn up to Rs.25,000 p.m",,,Apply Now
"ಸ್ವಿಗ್ಗಿ ಡೆಲಿವರಿ ಪಾಲುದಾರರಾಗಿ
ಇವುಗಳನ್ನು ಪಡೆಯಿರಿ - ಉತ್ತಮ ಸಂಬಳ,
ವಿಮೆ ಮತ್ತು ಅನುಕೂಲಕರ ಸಮಯಗಳು.","ಪ್ರತಿ ತಿಂಗಳು Rs.25,000 ವರೆಗೆ ಸಂಪಾದಿಸಿ",,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future.,Earn upto Rs.25000 p.m.,,,Apply Now
Become a Swiggy Delivery Partner & secure your family’s future with competitive salary & insurance cover.,Earn upto Rs.25000 p.m.,,,Apply Now
Be a Swiggy Delivery Partner and be your own boss with flexible timings.,,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/280817325_3212714335685071_3340857063897649466_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=MV-dDZNSYw0AX_qvHb-&_nc_ht=scontent.fblr22-1.fna&oh=00_AT-VFoukQFgOa2CRHoxQwLGlOipdOpGrPwjXeJTdWm_2eg&oe=62B453BE,
Become a Swiggy Delivery Partner & secure your family’s future.,Earn upto Rs.25000 p.m.,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/280164853_1038067370147798_1173384907500659073_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=GZmg4rEq07wAX8HHBql&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_KijAGMAMAoSNUmjp4NjY45_GYqBWDEdmVVffviScfdw&oe=62B467C9,Apply Now
Swiggy के साथ डेलिवर करें और अच्छी कमाई के साथ अपने परिवार का भविष्य सुरक्षित करें।.,साप्ताहिक पेमेंट ।,,https://scontent.fblr22-1.fna.fbcdn.net/v/t39.35426-6/280071500_525829609098534_8468085903049922744_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Gx-xUTypNbEAX9ubj_0&_nc_ht=scontent.fblr22-1.fna&oh=00_AT_cQ_IjV3lf0hPV88VCBfd43dQiCX6svf62GCTajYQ-yg&oe=62B5018E,Apply Now
"Swiggy के साथ डेलिवर करें और पाएं आकर्षक कमाई, बीमा कवर और अपनी मनपसंद शिफ्ट।",,,,
